"run","elpd_loo_AR","elpd_loo_MA","elpd_loo_BMA","elpd_loo_BPS","elpd_loo_BPS2","test_rmse_AR","test_rmse_MA","test_rmse_BMA","test_rmse_BPS","test_rmse_BPS2"
1,-162.547462296461,-162.170740980534,-50.2424122254696,-50.7657858967309,-50.4655970331708,5.63778828105978,5.58335788936456,5.58448632544432,5.09172013265887,5.03545356467188
2,-148.872148507321,-141.156707020544,-60.3762387798094,-57.6959736741998,-57.5118526576717,5.62239687549367,5.59599060380106,6.58536320878032,6.56416482337635,6.53359822901573
3,-167.213618495003,-165.791411822406,-56.8027425576002,-52.1242933718795,-52.3486809692468,4.9403961244332,4.92234966234089,5.2723511824378,5.38063671888233,5.58042593707035
4,-161.034532302989,-157.7405874512,-61.455568307879,-55.417110756782,-55.2671441151628,5.6171289747892,5.56068338279879,6.48002940322266,6.15716501251069,6.55399505906585
5,-161.86529288689,-161.374841961513,-52.7532804168748,-53.450504039401,-53.219898733283,5.35875960163913,5.34403165229165,5.5805918011811,5.55404941887999,5.55839304535225
6,-160.496200354811,-160.171613447871,-59.2151745973927,-53.8449924161248,-53.9343895404527,5.42896520267812,5.3257611063859,6.25003196889632,4.51752826797416,4.48258988955027
7,-161.310599047524,-154.907021464897,-62.6869964428325,-55.9553523924113,-55.7430290711749,6.37995636069687,6.41605915212941,6.92311862207445,6.27922123284539,6.67630028625071
8,-166.09734101437,-165.255804277799,-58.1459292815083,-55.5109672231548,-55.8753804236592,5.98755245236503,5.98100852486841,6.50323444712637,6.66869830458473,6.70049555152726
9,-146.007599670187,-125.406716701966,-58.4481773840912,-59.4595307398823,-58.883568470581,5.98659147368554,5.82246930680954,5.99493974160758,5.71978200227403,5.81860280913296
10,-152.54179203124,-150.975928652236,-56.2078824969406,-52.51161740237,-52.0610764434784,4.35961888132158,4.67525040698063,5.24320973134969,4.70653320388604,4.69449372646524
11,-166.774356647264,-163.704036710825,-49.0796957786061,-49.8154931386445,-50.0053915709506,6.46716190563076,6.32327410773571,5.78441658372475,5.09657562827015,5.01859908762284
12,-154.924700229891,-155.588885130277,-56.9773974741343,-56.5082925924661,-56.3768872603624,5.85294390505159,5.8535282769298,6.45337011739121,5.4704328601379,5.43222025285539
13,-162.268752493556,-157.192263620379,-59.1114350413492,-56.7282832447211,-56.7525456823723,4.7141475488242,4.58789929229614,5.27016006987391,4.93434483886335,5.39270620116761
14,-161.379234449959,-159.731895977028,-51.6486716539834,-51.7999705000832,-51.9612474744029,5.39625032932259,5.36855934625506,5.30849985889895,4.80503013505332,4.84207468638764
15,-156.556871834984,-150.704665732615,-60.0214608879497,-60.321617959619,-60.3640586779473,5.3398642334945,5.26207740533763,6.13557232814171,5.55222988794289,5.70457992888669
16,-155.445924983976,-154.914673378337,-50.8991479280123,-48.3255909341961,-48.4507891003974,4.7737245630652,4.77995937365704,5.09131256714253,5.54868384702116,5.65596704305955
17,-154.750118474349,-153.810556141863,-64.7681517325534,-61.4571810752318,-61.8269577658816,5.31533951079928,5.30895209633639,6.95540222560055,6.18143979842637,6.92662427227847
18,-150.456982977549,-150.068416387672,-58.1231991761685,-55.9356021361429,-55.9412245055826,4.70824725898167,4.67031690550678,5.68717662112183,6.02296323464611,5.92170051805754
19,-152.103131308337,-150.979258803651,-55.7482583184832,-52.8331459336807,-52.9791235269013,5.31698640195266,5.307967594465,5.55159835215632,4.90005681207762,4.89896230133774
20,-141.199422501322,-137.585672002352,-55.1984351947429,-54.9489070941173,-54.8449361275403,4.90084434508835,4.70864571076516,5.53344968220024,5.23456197869051,5.30402444651053
